FRAME NUMBER: 0
0: -11.120751, og: 6000.828125
1: 7.383835, og: 0.362462
2: -6.320536, og: -0.208050
3: -4.801458, og: -0.071329
4: -1.441565, og: 0.114954
5: -1.674807, og: -0.174137
6: -0.848970, og: -0.362546
7: -1.570966, og: -0.164739
8: -2.058773, og: -0.009658
9: -1.807625, og: 0.003386
10: -1.192783, og: 0.056820
11: -0.142569, og: 0.021426
FRAME NUMBER: 1
12: 0.952413, og: -0.112755
13: 1.163811, og: -0.054385
14: 1.759408, og: 0.109640
15: 1.464937, og: 0.013336
16: 1.340822, og: -0.207592
17: 0.502821, og: -0.148500
18: -0.072072, og: 0.087369
19: -0.865451, og: 0.113039
20: -1.226228, og: -0.053732
21: -0.228290, og: -0.121701
22: 1.383069, og: -0.046488
23: 0.490739, og: 0.019794
FRAME NUMBER: 2
24: -1.238990, og: 0.025700
25: -1.822606, og: -0.024358
26: -0.478977, og: -0.120657
27: 0.501562, og: -0.127460
28: 0.930129, og: 0.030207
29: -0.134351, og: 0.130190
30: -0.147121, og: 0.025139
31: 0.686683, og: -0.046025
32: 0.541007, og: 0.062469
33: -0.450031, og: 0.119442
34: 0.123117, og: 0.020877
35: 0.768250, og: -0.051679
FRAME NUMBER: 3
36: 0.093479, og: -0.059605
37: -0.505191, og: -0.079642
38: -0.167916, og: -0.049579
39: 0.080516, og: 0.006981
40: -0.367109, og: -0.051577
41: -0.296551, og: -0.120671
42: 0.244296, og: -0.024047
43: 0.073947, og: 0.086404
44: -0.230506, og: 0.034179
45: -0.500749, og: -0.059719
46: -0.288136, og: -0.095080
47: 0.007956, og: -0.141635
